sku,name,price,stock,talla,color,description,imageUrl
MRA-001-S-NEG,Casco Abierto Urbano Andina,185000,6,S,negro,"Casco abierto liviano para uso urbano con visera corta y forro interior desmontable.",https://picsum.photos/seed/mra-001/480/360
MRA-001-M-NEG,Casco Abierto Urbano Andina,185000,9,M,negro,"Casco abierto liviano para uso urbano con visera corta y forro interior desmontable.",https://picsum.photos/seed/mra-001/480/360
MRA-001-L-NEG,Casco Abierto Urbano Andina,185000,4,L,negro,"Casco abierto liviano para uso urbano con visera corta y forro interior desmontable.",https://picsum.photos/seed/mra-001/480/360
MRA-001-M-BLA,Casco Abierto Urbano Andina,185000,5,M,blanco,"Casco abierto liviano para uso urbano con visera corta y forro interior desmontable.",https://picsum.photos/seed/mra-001/480/360
MRA-002-S-ROJ,Casco Integral Cordillera,410000,3,S,rojo,"Casco integral homologado con doble visera y ventilación regulable para ruta y trocha.",https://picsum.photos/seed/mra-002/480/360
MRA-002-M-ROJ,Casco Integral Cordillera,410000,7,M,rojo,"Casco integral homologado con doble visera y ventilación regulable para ruta y trocha.",https://picsum.photos/seed/mra-002/480/360
MRA-002-L-ROJ,Casco Integral Cordillera,410000,2,L,rojo,"Casco integral homologado con doble visera y ventilación regulable para ruta y trocha.",https://picsum.photos/seed/mra-002/480/360
MRA-003-S,Chaqueta Impermeable Rally,220000,4,S,azul,"Chaqueta impermeable con protecciones CE en hombros y codos, forro térmico removible.",https://picsum.photos/seed/mra-003/480/360
MRA-003-M,Chaqueta Impermeable Rally,220000,8,M,azul,"Chaqueta impermeable con protecciones CE en hombros y codos, forro térmico removible.",https://picsum.photos/seed/mra-003/480/360
MRA-003-L,Chaqueta Impermeable Rally,220000,6,L,azul,"Chaqueta impermeable con protecciones CE en hombros y codos, forro térmico removible.",https://picsum.photos/seed/mra-003/480/360
MRA-003-XL,Chaqueta Impermeable Rally,220000,3,XL,azul,"Chaqueta impermeable con protecciones CE en hombros y codos, forro térmico removible.",https://picsum.photos/seed/mra-003/480/360
MRA-004-S,Guantes de Cuero Trail,65000,10,S,negro,"Guantes de cuero reforzado con nudillera rígida y palma antideslizante.",https://picsum.photos/seed/mra-004/480/360
MRA-004-M,Guantes de Cuero Trail,65000,14,M,negro,"Guantes de cuero reforzado con nudillera rígida y palma antideslizante.",https://picsum.photos/seed/mra-004/480/360
MRA-004-L,Guantes de Cuero Trail,65000,7,L,negro,"Guantes de cuero reforzado con nudillera rígida y palma antideslizante.",https://picsum.photos/seed/mra-004/480/360
MRA-005-39,Botas Enduro Andina,320000,3,39,negro,"Botas de caña alta con puntera y talonera reforzadas, suela antideslizante.",https://picsum.photos/seed/mra-005/480/360
MRA-005-40,Botas Enduro Andina,320000,5,40,negro,"Botas de caña alta con puntera y talonera reforzadas, suela antideslizante.",https://picsum.photos/seed/mra-005/480/360
MRA-005-41,Botas Enduro Andina,320000,6,41,negro,"Botas de caña alta con puntera y talonera reforzadas, suela antideslizante.",https://picsum.photos/seed/mra-005/480/360
MRA-005-42,Botas Enduro Andina,320000,4,42,negro,"Botas de caña alta con puntera y talonera reforzadas, suela antideslizante.",https://picsum.photos/seed/mra-005/480/360
MRA-005-43,Botas Enduro Andina,320000,2,43,negro,"Botas de caña alta con puntera y talonera reforzadas, suela antideslizante.",https://picsum.photos/seed/mra-005/480/360
MRA-006-S,Manoplas de Neopreno,45000,12,S,gris,"Manoplas de neopreno para manubrio, protegen del frío y la lluvia sin perder el tacto de los mandos.",https://picsum.photos/seed/mra-006/480/360
MRA-006-M,Manoplas de Neopreno,45000,10,M,gris,"Manoplas de neopreno para manubrio, protegen del frío y la lluvia sin perder el tacto de los mandos.",https://picsum.photos/seed/mra-006/480/360
MRA-007-S,Protector de Rodillas Trail,48000,9,S,negro,"Rodilleras articuladas de uso rudo, ajuste con velcro doble.",https://picsum.photos/seed/mra-007/480/360
MRA-007-M,Protector de Rodillas Trail,48000,12,M,negro,"Rodilleras articuladas de uso rudo, ajuste con velcro doble.",https://picsum.photos/seed/mra-007/480/360
MRA-007-L,Protector de Rodillas Trail,48000,7,L,negro,"Rodilleras articuladas de uso rudo, ajuste con velcro doble.",https://picsum.photos/seed/mra-007/480/360
MRA-008-S,Camiseta Térmica Interior,38000,15,S,gris,"Camiseta térmica de secado rápido para usar bajo la chaqueta en climas fríos.",https://picsum.photos/seed/mra-008/480/360
